question,option a,option b,option c,option d,correct,topic,,,,
Which country has the longest coastline?,Australia,Canada,Russia,USA,Canada,Geography,,,,
What is the capital of South Korea?,Seoul,Busan,Pyongyang,Taipei,Seoul,Geography,,,,
Which mountain range forms the natural border between France and Spain?,Alps,Pyrenees,Carpathians,Apennines,Pyrenees,Geography,,,,
Which desert is located in southern Africa?,Kalahari,Sahara,Sonoran,Gobi,Kalahari,Geography,,,,
"Which city is known as the ""City of Canals""?",Venice,Amsterdam,Bruges,Stockholm,Venice,Geography,,,,
Which country is famous for tulips and windmills?,Belgium,Netherlands,Denmark,Germany,Netherlands,Geography,,,,
,,,,,,,,,,
"Who wrote ""Romeo and Juliet""?",William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare,Literature,,,,
In which novel does the character Atticus Finch appear?,To Kill a Mockingbird,The Great Gatsby,1984,Moby Dick,To Kill a Mockingbird,Literature,,,,
What is the title of the first Harry Potter book?,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher's Stone,Literature,,,,
"Who is the author of ""Pride and Prejudice""?",Emily Brontë,Jane Austen,Virginia Woolf,George Eliot,Jane Austen,Literature,,,,
"What is the genre of ""Frankenstein"" by Mary Shelley?",Romance,Horror,Science Fiction,Adventure,Horror,Literature,,,,
"Which poet wrote ""The Raven""?",Robert Frost,Edgar Allan Poe,Walt Whitman,Emily Dickinson,Edgar Allan Poe,Literature,,,,
"In ""The Great Gatsby"," who is the narrator?,Jay Gatsby,Nick Carraway,Daisy Buchanan,Tom Buchanan,Nick Carraway,Literature
Who wrote The Catcher in the Rye""?",J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,J.D. Salinger,Literature,,,
"What is the setting of Shakespeare's ""Macbeth""?",England,Scotland,Ireland,Wales,Scotland,Literature,,,,
Which novel features the character Elizabeth Bennet?,Wuthering Heights,Jane Eyre,Pride and Prejudice,Great Expectations,Pride and Prejudice,Literature,,,,
"Who wrote ""One Hundred Years of Solitude""?",Gabriel García Márquez,Pablo Neruda,Mario Vargas Llosa,Isabel Allende,Gabriel García Márquez,Literature,,,,
"What is the main theme of ""Animal Farm""?",Friendship,Corruption and Power,Love,War,Corruption and Power,Literature,,,,
"Who is the author of ""The Odyssey""?",Virgil,Homer,Sophocles,Plato,Homer,Literature,,,,
"What is the profession of the main character in ""Crime and Punishment""?",Teacher,Detective,Student,Lawyer,Student,Literature,,,,
"Which novel begins with the line ""Call me Ishmael.""?",Moby Dick,The Old Man and the Sea,The Call of the Wild,Heart of Darkness,Moby Dick,Literature,,,,
"Who wrote ""The Divine Comedy""?",Dante Alighieri,Geoffrey Chaucer,John Milton,William Blake,Dante Alighieri,Literature,,,,
Which Shakespeare play features the character Shylock?,Hamlet,Othello,The Merchant of Venice,King Lear,The Merchant of Venice,Literature,,,,
"What is the central conflict in ""Lord of the Flies""?",Man vs Nature,Man vs Man,Man vs Society,Man vs Self,Man vs Society,Literature,,,,
"Who wrote ""Great Expectations""?",Charles Dickens,Thomas Hardy,William Makepeace Thackeray,George Eliot,Charles Dickens,Literature,,,,
"What type of work is ""Beowulf""?",Epic Poem,Novel,Play,Essay,Epic Poem,Literature,,,,
"Who is the author of ""To the Lighthouse""?",Virginia Woolf,James Joyce,Gertrude Stein,Samuel Beckett,Virginia Woolf,Literature,,,,
Which novel features the character Jay Gatsby?,The Great Gatsby,The Sun Also Rises,The Grapes of Wrath,The Sound and the Fury,The Great Gatsby,Literature,,,,
"Who wrote the play ""Death of a Salesman""?",Arthur Miller,Tennessee Williams,August Wilson,Eugene O'Neill,Arthur Miller,Literature,,,,
"What is the main theme of ""Jane Eyre""?",Love and Social Class,War and Peace,Friendship and Loyalty,Adventure and Exploration,Love and Social Class,Literature,,,,
"Who is the protagonist in ""The Catcher in the Rye""?",Holden Caulfield,J.D. Salinger,Nick Carraway,Jay Gatsby,Holden Caulfield,Literature,,,,
"Which poet wrote ""Leaves of Grass""?",Robert Frost,Emily Dickinson,Walt Whitman,T.S. Eliot,Walt Whitman,Literature,,,,
"Who wrote ""The Canterbury Tales""?",Geoffrey Chaucer,William Shakespeare,John Milton,Edmund Spenser,Geoffrey Chaucer,Literature,,,,
In which book would you find the character Huckleberry Finn?,The Adventures of Huckleberry Finn,Tom Sawyer,Little House on the Prairie,The Call of the Wild,The Adventures of Huckleberry Finn,Literature,,,,
"Who is the author of ""1984""?",Aldous Huxley,George Orwell,Ray Bradbury,Kurt Vonnegut,George Orwell,Literature,,,,
"What is the narrative style of ""Moby Dick""?",First-person,Third-person omniscient,Stream of consciousness,Second-person,First-person,Literature,,,,
"Which Shakespeare play is known as ""The Scottish Play""?",Macbeth,Hamlet,Othello,King Lear,Macbeth,Literature,,,,
"Who wrote ""Wuthering Heights""?",Charlotte Brontë,Emily Brontë,Anne Brontë,Jane Austen,Emily Brontë,Literature,,,,
"What is the setting of ""The Grapes of Wrath""?",California,Oklahoma,Texas,Nebraska,California,Literature,,,,
"Who is the author of ""The Hobbit""?",J.R.R. Tolkien,C.S. Lewis,George R.R. Martin,Philip Pullman,J.R.R. Tolkien,Literature,,,,
Which novel explores themes of dystopia and surveillance?,Brave New World,1984,Fahrenheit 451,The Handmaid's Tale,1984,Literature,,,,
"Who wrote ""The Picture of Dorian Gray""?",Oscar Wilde,Mark Twain,Charles Dickens,Edgar Allan Poe,Oscar Wilde,Literature,,,,
"What type of literary work is ""Hamlet""?",Novel,Poem,Play,Essay,Play,Literature,,,,
"Which American author wrote ""The Scarlet Letter""?",Nathaniel Hawthorne,Herman Melville,Edgar Allan Poe,Mark Twain,Nathaniel Hawthorne,Literature,,,,
"Who is the author of ""Don Quixote""?",Miguel de Cervantes,Lope de Vega,Federico García Lorca,Pablo Neruda,Miguel de Cervantes,Literature,,,,
"What is the main theme of ""The Old Man and the Sea""?",Man vs Nature,Love,War,Friendship,Man vs Nature,Literature,,,,
"Who wrote ""The Sound and the Fury""?",William Faulkner,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,William Faulkner,Literature,,,,
Which author created the character Sherlock Holmes?,Agatha Christie,Arthur Conan Doyle,Edgar Allan Poe,Wilkie Collins,Arthur Conan Doyle,Literature,,,,
"What is the primary setting of ""Anna Karenina""?",Russia,France,England,Germany,Russia,Literature,,,,
"Who wrote ""A Tale of Two Cities""?",Charles Dickens,Victor Hugo,Leo Tolstoy,Mark Twain,Charles Dickens,Literature,,,,
Which novel is narrated by Ishmael?,Moby Dick,Heart of Darkness,The Old Man and the Sea,Robinson Crusoe,Moby Dick,Literature,,,,
"What is the genre of ""Dracula"" by Bram Stoker?",Gothic Horror,Romance,Science Fiction,Adventure,Gothic Horror,Literature,,,,
"Who wrote the play ""A Streetcar Named Desire""?",Tennessee Williams,Arthur Miller,Eugene O'Neill,August Wilson,Tennessee Williams,Literature,,,,
"What is the main theme of ""Lord of the Rings""?",Good vs Evil,Love,War,Friendship,Good vs Evil,Literature,,,,
,,,,,,,,,,
"Who directed the movie ""Inception""?",Steven Spielberg,Christopher Nolan,James Cameron,Quentin Tarantino,Christopher Nolan,Movies & Entertainment,,,,
"Which actor played Jack Dawson in ""Titanic""?",Brad Pitt,Leonardo DiCaprio,Johnny Depp,Tom Cruise,Leonardo DiCaprio,Movies & Entertainment,,,,
What is the highest-grossing film of all time?,Avatar,Avengers: Endgame,Titanic,Star Wars: The Force Awakens,Avengers: Endgame,Movies & Entertainment,,,,
Who won the Oscar for Best Actor in 2020?,Joaquin Phoenix,Leonardo DiCaprio,Brad Pitt,Adam Driver,Joaquin Phoenix,Movies & Entertainment,,,,
"Which movie features the quote ""May the Force be with you""?",Star Trek,Star Wars,Guardians of the Galaxy,The Matrix,Star Wars,Movies & Entertainment,,,,
"Who played the role of The Joker in ""The Dark Knight""?",Joaquin Phoenix,Heath Ledger,Jared Leto,Jack Nicholson,Heath Ledger,Movies & Entertainment,,,,
Which actress starred as Hermione Granger in the Harry Potter series?,Emma Watson,Jennifer Lawrence,Scarlett Johansson,Anne Hathaway,Emma Watson,Movies & Entertainment,,,,
"What year was the original ""Jurassic Park"" movie released?",1990,1993,1995,1998,1993,Movies & Entertainment,,,,
"Which movie is known for the line ""I'll be back""?",Predator,Terminator 2,Terminator,Robocop,Terminator,Movies & Entertainment,,,,
"Who directed ""Pulp Fiction""?",Martin Scorsese,Steven Spielberg,Quentin Tarantino,Francis Ford Coppola,Quentin Tarantino,Movies & Entertainment,,,,
In which movie did Tom Hanks play a character stranded on an island?,Cast Away,Sully,Forrest Gump,Saving Private Ryan,Cast Away,Movies & Entertainment,,,,
"Who voiced Woody in ""Toy Story""?",Tim Allen,Tom Hanks,Billy Crystal,Robin Williams,Tom Hanks,Movies & Entertainment,,,,
Which film won the Best Picture Oscar in 1994?,Forrest Gump,Pulp Fiction,The Shawshank Redemption,Four Weddings and a Funeral,Forrest Gump,Movies & Entertainment,,,,
"Who played the lead role in ""Gladiator""?",Russell Crowe,Mel Gibson,Brad Pitt,Christian Bale,Russell Crowe,Movies & Entertainment,,,,
"Which movie features the song ""My Heart Will Go On""?",The Bodyguard,Titanic,Dirty Dancing,Pretty Woman,Titanic,Movies & Entertainment,,,,
"What is the name of the kingdom where ""Frozen"" is set?",Arendelle,Corona,Monstropolis,Narnia,Arendelle,Movies & Entertainment,,,,
Which actor portrayed Tony Stark in the Marvel Cinematic Universe?,Chris Evans,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,Robert Downey Jr.,Movies & Entertainment,,,,
Which movie series features the character Katniss Everdeen?,Divergent,The Hunger Games,Twilight,Maze Runner,The Hunger Games,Movies & Entertainment,,,,
"Who directed the movie ""The Godfather""?",Francis Ford Coppola,Martin Scorsese,Stanley Kubrick,Alfred Hitchcock,Francis Ford Coppola,Movies & Entertainment,,,,
What was the first feature-length animated movie?,Snow White and the Seven Dwarfs,Cinderella,Frozen,Bambi,Snow White and the Seven Dwarfs,Movies & Entertainment,,,,
Which actor starred as Wolverine in the X-Men movies?,Hugh Jackman,Ryan Reynolds,Chris Pratt,Tom Hardy,Hugh Jackman,Movies & Entertainment,,,,
"Who played Jack Sparrow in ""Pirates of the Caribbean""?",Orlando Bloom,Johnny Depp,Geoffrey Rush,Brad Pitt,Johnny Depp,Movies & Entertainment,,,,
"Which movie features the character ""Forrest Gump""?",Forrest Gump,Cast Away,Big,Saving Private Ryan,Forrest Gump,Movies & Entertainment,,,,
"Who is the female lead in the movie ""La La Land""?",Emma Stone,Jennifer Lawrence,Amanda Seyfried,Anne Hathaway,Emma Stone,Movies & Entertainment,,,,
"Which movie features a character named ""Dory""?",Finding Nemo,Finding Dory,Shark Tale,The Little Mermaid,Finding Nemo,Movies & Entertainment,,,,
What is the highest-grossing animated movie?,Frozen 2,Toy Story 4,The Lion King (2019),Incredibles 2,Frozen 2,Movies & Entertainment,,,,
"Who directed ""Avatar""?",James Cameron,Peter Jackson,Steven Spielberg,Christopher Nolan,James Cameron,Movies & Entertainment,,,,
Which actor played Deadpool?,Chris Evans,Ryan Reynolds,Chris Hemsworth,Mark Ruffalo,Ryan Reynolds,Movies & Entertainment,,,,
"What is the name of the hobbit played by Elijah Wood in ""The Lord of the Rings""?",Frodo Baggins,Bilbo Baggins,Samwise Gamgee,Peregrin Took,Frodo Baggins,Movies & Entertainment,,,,
"Who composed the score for ""Star Wars"" movies?",Hans Zimmer,John Williams,James Horner,Howard Shore,John Williams,Movies & Entertainment,,,,
Which movie is about a fish searching for his son?,Finding Nemo,Shark Tale,The Little Mermaid,Free Willy,Finding Nemo,Movies & Entertainment,,,,
"Who played the character ""Rocky Balboa""?",Sylvester Stallone,Arnold Schwarzenegger,Jean-Claude Van Damme,Bruce Willis,Sylvester Stallone,Movies & Entertainment,,,,
"Which film features the character ""Gollum""?",Harry Potter,The Hobbit,The Lord of the Rings,Chronicles of Narnia,The Lord of the Rings,Movies & Entertainment,,,,
"What year was the first ""Star Wars"" movie released?",1975,1977,1980,1983,1977,Movies & Entertainment,,,,
"Which actor played the main role in ""The Matrix""?",Keanu Reeves,Will Smith,Brad Pitt,Tom Cruise,Keanu Reeves,Movies & Entertainment,,,,
"Who played the character ""Black Widow"" in MCU?",Scarlett Johansson,Elizabeth Olsen,Brie Larson,Evangeline Lilly,Scarlett Johansson,Movies & Entertainment,,,,
"Which movie features the phrase ""Here's looking at you"," kid""?",Casablanca,Gone with the Wind,The Maltese Falcon,Citizen Kane,Casablanca,Movies & Entertainment,,,
"Who directed ""Titanic""?",James Cameron,Steven Spielberg,Peter Jackson,Martin Scorsese,James Cameron,Movies & Entertainment,,,,
What is the fictional city where Batman operates?,Metropolis,Gotham City,Central City,Star City,Gotham City,Movies & Entertainment,,,,
"Which actress played ""Katniss Everdeen""?",Jennifer Lawrence,Emma Watson,Shailene Woodley,Brie Larson,Jennifer Lawrence,Movies & Entertainment,,,,
"What is the name of the main character in ""The Silence of the Lambs""?",Clarice Starling,Catherine Martin,Will Graham,Hannibal Lecter,Clarice Starling,Movies & Entertainment,,,,
"Which actor portrayed the character ""Iron Man""?",Chris Evans,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,Robert Downey Jr.,Movies & Entertainment,,,,
What is the name of the wizarding school in Harry Potter?,Hogwarts,Durmstrang,Beauxbatons,Ilvermorny,Hogwarts,Movies & Entertainment,,,,
"Who starred as ""The Terminator""?",Arnold Schwarzenegger,Sylvester Stallone,Jean-Claude Van Damme,Bruce Willis,Arnold Schwarzenegger,Movies & Entertainment,,,,
Which movie is about a shark terrorizing a beach town?,Jaws,Deep Blue Sea,Shark Tale,The Meg,Jaws,Movies & Entertainment,,,,
"Who directed ""The Lord of the Rings"" trilogy?",Peter Jackson,Steven Spielberg,James Cameron,Christopher Nolan,Peter Jackson,Movies & Entertainment,,,,
"Which movie features a character named ""Forrest Gump""?",Forrest Gump,Cast Away,Big,Saving Private Ryan,Forrest Gump,Movies & Entertainment,,,,
,,,,,,,,,,
Who won the FIFA World Cup in 2018?,France,Croatia,Brazil,Germany,a,Sports,,,,
"Which sport is known as ""the king of sports""?",Basketball,Football,Tennis,Cricket,b,Sports,,,,
How many players are on a basketball team on the court?,5,6,7,4,a,Sports,,,,
"In which sport is the term ""home run"" used?",Baseball,Cricket,Football,Hockey,a,Sports,,,,
Which country hosts the Wimbledon tennis tournament?,USA,UK,Australia,France,b,Sports,,,,
How long is an Olympic swimming pool?,50 meters,25 meters,100 meters,75 meters,a,Sports,,,,
"Which sport uses the term ""slam dunk""?",Basketball,Volleyball,Tennis,Soccer,a,Sports,,,,
In soccer, how many points is a goal worth?,1,2,3,0,a,Sports,,,
Who holds the record for the most goals in World Cup history?,Pele,Miroslav Klose,Ronaldo,Lionel Messi,b,Sports,,,,
Which sport is associated with the Stanley Cup?,Ice Hockey,Basketball,Baseball,Soccer,a,Sports,,,,
What is the maximum score in a single frame of bowling?,30,20,15,25,a,Sports,,,,
Which country won the first Cricket World Cup in 1975?,Australia,England,West Indies,India,c,Sports,,,,
How many minutes are there in a professional soccer match?,90,60,120,80,a,Sports,,,,
In which sport do players compete for the Davis Cup?,Tennis,Soccer,Basketball,Cricket,a,Sports,,,,
What is the nickname for the New Zealand rugby team?,All Blacks,Wallabies,Springboks,All Whites,a,Sports,,,,
"Which athlete is known as ""The Fastest Man Alive""?",Usain Bolt,Carl Lewis,Michael Johnson,Asafa Powell,a,Sports,,,,
"In which sport would you perform a ""double axel""?",Figure Skating,Gymnastics,Skiing,Surfing,a,Sports,,,,
Who has won the most NBA championships as a player?,Michael Jordan,Bill Russell,Kobe Bryant,LeBron James,b,Sports,,,,
What is the term for a score of zero in tennis?,Love,Nil,Zero,Blank,a,Sports,,,,
Which country won the Rugby World Cup in 2019?,South Africa,England,New Zealand,Australia,a,Sports,,,,
How many players are there in a volleyball team on court?,6,5,7,4,a,Sports,,,,
What color flag is waved to start a Formula 1 race?,Green,Red,Yellow,Checkered,d,Sports,,,,
Which sport uses a puck?,Ice Hockey,Field Hockey,Football,Basketball,a,Sports,,,,
Where were the first modern Olympic Games held?,Athens,Paris,London,Rome,a,Sports,,,,
"Who is known as ""The Greatest"" in boxing?",Muhammad Ali,Mike Tyson,Floyd Mayweather,Manny Pacquiao,a,Sports,,,,
In golf, what is the term for a score of three under par on a hole?,Eagle,Birdie,Albatross,Bogey,c,Sports,,,
Which country has won the most Olympic gold medals in history?,USA,Russia,China,Germany,a,Sports,,,,
What is the main color of the Barcelona football team kit?,Blue and Red,Yellow,White,Green,a,Sports,,,,
Who won the 2021 Tour de France?,Tadej Pogačar,Chris Froome,Primož Roglič,Geraint Thomas,a,Sports,,,,
Which country invented the sport of table tennis?,China,England,USA,Germany,b,Sports,,,,
How many players are on an American football team on the field?,11,10,9,12,a,Sports,,,,
"In which sport is the term ""birdie"" used?",Golf,Tennis,Badminton,Baseball,a,Sports,,,,
Which athlete has won the most Olympic medals?,Michael Phelps,Usain Bolt,Carl Lewis,Mark Spitz,a,Sports,,,,
In soccer, what does FIFA stand for?,Federation Internationale de Football Association,Football International Federation Association,Federation of International Football Athletes,Football International Federation of America,a,Sports,,,
What is the length of a marathon race?,42.195 km,21 km,10 km,50 km,a,Sports,,,,
Which country won the 2019 Cricket World Cup?,England,Australia,India,New Zealand,a,Sports,,,,
Which sport is Serena Williams famous for?,Tennis,Basketball,Soccer,Volleyball,a,Sports,,,,
In which sport do teams compete for the Lombardi Trophy?,American Football,Rugby,Baseball,Soccer,a,Sports,,,,
What is the name of the trophy awarded to the NHL champions?,Stanley Cup,Lombardi Trophy,Vince Lombardi Trophy,Calder Cup,a,Sports,,,,
Which sport uses a shuttlecock?,Badminton,Tennis,Squash,Table Tennis,a,Sports,,,,
Which country is known as the birthplace of rugby?,England,Scotland,New Zealand,Australia,a,Sports,,,,
"In which sport is the term ""hat-trick"" used for scoring three goals?",Soccer,Cricket,Basketball,Baseball,a,Sports,,,,
How many rings are on the Olympic flag?,5,4,6,7,a,Sports,,,,
Which sport is Usain Bolt associated with?,Athletics,Swimming,Cycling,Football,a,Sports,,,,
Who won the UEFA Champions League in 2022?,Real Madrid,Bayern Munich,Liverpool,Manchester City,a,Sports,,,,
"In which sport is the term ""scrum"" used?",Rugby,Soccer,Basketball,Volleyball,a,Sports,,,,
What is the height of a basketball hoop from the ground?,10 feet,9 feet,8 feet,11 feet,a,Sports,,,,
Which country won the 2018 FIFA World Cup?,France,Brazil,Germany,Croatia,a,Sports,,,,
Who is the all-time top scorer in NBA history?,Kareem Abdul-Jabbar,Michael Jordan,LeBron James,Kobe Bryant,a,Sports,,,,
,,,,,,,,,,
Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,a,History,,,,
In which year did World War II end?,1945,1939,1918,1963,a,History,,,,
The Great Wall of China was primarily built to protect against which group?,Mongols,Huns,Romans,Turks,a,History,,,,
Who discovered America in 1492?,Christopher Columbus,Ferdinand Magellan,James Cook,Vasco da Gama,a,History,,,,
What was the name of the ship on which the Pilgrims traveled to America in 1620?,Mayflower,Beagle,Titanic,Santa Maria,a,History,,,,
"Who was known as the ""Iron Lady""?",Margaret Thatcher,Indira Gandhi,Mother Teresa,Golda Meir,a,History,,,,
The Renaissance began in which country?,Italy,France,England,Germany,a,History,,,,
Which empire was ruled by Genghis Khan?,Mongol Empire,Ottoman Empire,Roman Empire,Persian Empire,a,History,,,,
What year did the Berlin Wall fall?,1989,1991,1975,1961,a,History,,,,
Who wrote the Declaration of Independence?,Thomas Jefferson,John Adams,Benjamin Franklin,George Washington,a,History,,,,
The ancient city of Troy is located in which modern-day country?,Turkey,Greece,Italy,Egypt,a,History,,,,
Which war was fought between the North and South regions in the United States?,Civil War,World War I,Revolutionary War,Cold War,a,History,,,,
Who was the first man to step on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,a,History,,,,
What was the main cause of the French Revolution?,Social inequality,Economic prosperity,Religious freedom,Technological advancement,a,History,,,,
Who was the longest-reigning British monarch before Queen Elizabeth II?,Queen Victoria,King George III,Queen Elizabeth I,King Henry VIII,a,History,,,,
Which civilization built the Machu Picchu?,Inca,Aztec,Maya,Olmec,a,History,,,,
In which year did India gain independence from British rule?,1947,1950,1935,1920,a,History,,,,
Who was the first female Prime Minister of India?,Indira Gandhi,Sonia Gandhi,Mother Teresa,Pratibha Patil,a,History,,,,
The Cold War was primarily between which two countries?,USA and USSR,USA and China,UK and Germany,France and Russia,a,History,,,,
Who was assassinated on November 22, 1963?,John F. Kennedy,Abraham Lincoln,Mahatma Gandhi,Martin Luther King Jr.,a,History,,,
What was the name of the famous speech delivered by Martin Luther King Jr.?,I Have a Dream,The Gettysburg Address,Freedom or Death,The Iron Curtain,a,History,,,,
Who was the last Pharaoh of Ancient Egypt?,Cleopatra,Ramses II,Tutankhamun,Hatshepsut,a,History,,,,
Which event started on July 28, 1914?,World War I,World War II,The Cold War,The French Revolution,a,History,,,
What was the primary language of the Roman Empire?,Latin,Greek,Arabic,French,a,History,,,,
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,a,History,,,,
Which country was formerly known as Persia?,Iran,Iraq,Turkey,Egypt,a,History,,,,
Who was the leader of the Soviet Union during World War II?,Joseph Stalin,Vladimir Lenin,Nikita Khrushchev,Leon Trotsky,a,History,,,,
What year did the Titanic sink?,1912,1905,1920,1898,a,History,,,,
"Who was known as the ""Father of Modern Physics""?",Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,b,History,,,,
Which city was known as Byzantium before becoming Constantinople?,Istanbul,Ankara,Rome,Athens,a,History,,,,
"Who wrote ""The Prince""", a famous political treatise?,Niccolò Machiavelli,Plato,Aristotle,Thomas Hobbes,a,History,,,
The Magna Carta was signed in which year?,1215,1066,1492,1314,a,History,,,,
Who was the first emperor of a unified China?,Qin Shi Huang,Sun Tzu,Confucius,Liu Bang,a,History,,,,
Which war ended with the Treaty of Versailles?,World War I,World War II,Napoleonic Wars,Crimean War,a,History,,,,
Who was the founder of the Mongol Empire?,Genghis Khan,Kublai Khan,Tamerlane,Batu Khan,a,History,,,,
What was the main purpose of the Silk Road?,Trade,Military conquest,Religious pilgrimage,Exploration,a,History,,,,
Which country was Napoleon Bonaparte from?,France,Italy,Spain,Germany,a,History,,,,
Who was the first female Pharaoh of Egypt?,Hatshepsut,Cleopatra,Nefertiti,Nefertari,a,History,,,,
Which American president issued the Emancipation Proclamation?,Abraham Lincoln,George Washington,Thomas Jefferson,Theodore Roosevelt,a,History,,,,
What year did the Russian Revolution occur?,1917,1905,1924,1939,a,History,,,,
Who was the British Prime Minister during most of World War II?,Winston Churchill,Clement Attlee,Neville Chamberlain,Anthony Eden,a,History,,,,
Which ancient civilization built the pyramids?,Egyptians,Mayans,Romans,Greeks,a,History,,,,
What was the purpose of the Berlin Wall?,To divide East and West Berlin,To keep out invaders,To mark a border with Poland,To protect from floods,a,History,,,,
Who was the leader of Nazi Germany during World War II?,Adolf Hitler,Joseph Stalin,Benito Mussolini,Winston Churchill,a,History,,,,
"Which empire was known as the ""Land of the Rising Sun""?",Japan,China,Korea,Thailand,a,History,,,,
What year did the United Nations get founded?,1945,1919,1939,1950,a,History,,,,
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Isaac Newton,a,History,,,,
Which country launched the first artificial satellite, Sputnik?,USSR,USA,China,Japan,a,History,,,
"Who was the famous civil rights leader who gave the ""I Have a Dream"" speech?",Martin Luther King Jr.,Malcolm X,Rosa Parks,Frederick Douglass,a,History,,,,
,,,,,,,,,,
What is the chemical symbol for water?,H2O,CO2,O2,NaCl,a,Science & Tech,,,,
